restaurant_id,restaurant_name,cuisine_type,restaurant_address,latitude,longitude,manhattan_region,restaurant_rating,review_count,price
55spA8dSOvKRme3ix-k7gg,Westville West,American,"'210 W 10th St, New York, NY 10014'",40.7340046,-74.0041863,Midtown,4.0,927,$$
y6XohzcYjUAQOD8U3NT_yw,The Stag's Head,American,"'252 E 51st St, Ste 1, New York, NY 10022'",40.755592,-73.968588,Midtown,4.0,430,$$
NTwOc9yQ1xl5deeVzZqxfw,Tavern29,American,"'47 E 29th St, New York, NY 10016'",40.74431,-73.98394,Midtown,4.0,914,$$
D2qV8sDdHEFlHbVz7VSHRQ,Black Tap - Soho,American,"'529 Broome St, New York, NY 10013'",40.723794,-74.004193,Downtown,3.5,1186,$$
VCqNjupCWZ5INzOcyBMJSg,The Grey Dog - Union Square,American,"'90 University Pl, New York, NY 10003'",40.733828,-73.993052,Downtown,4.0,1062,$$
vgg1dvDP-9tFWSacN4q0nA,Coppelia,American,"'207 W 14th St, New York, NY 10011'",40.738860362832,-73.9999556,Midtown,4.0,1351,$$
TaAICUBApAfQG0ATDyspJQ,9ten Restaurant,American,"'910 7th Ave, New York, NY 10019'",40.7661399841309,-73.97998046875,Uptown,4.0,204,$$
1LIptXhtDh58vAA-QPFL4w,Cask Bar & Kitchen,American,"'167 E 33rd St, New York, NY 10016'",40.745414,-73.979004,Midtown,4.0,1350,$$
bEloKDe-QVkwakAwmFKbbA,Frying Pan,American,"'207 12th Avenue, Big Red Boat in Park, New York, NY 10001'",40.7521174043978,-74.0090024471283,Midtown,4.0,1509,$$
Oq1mej1BYfjcdPKkM_5o8g,High Street On Hudson,American,"'637 Hudson St, New York, NY 10014'",40.73888,-74.00574,Midtown,4.0,412,$$
c1kKAH9XMPNeaBhvnIP0FQ,Trinity Place,American,"'115 Broadway, New York, NY 10006'",40.708865,-74.01117,Downtown,4.0,377,$$
q1uIqB8PvyCCX8TajaRYBg,The Little Owl,American,"'90 Bedford St, New York, NY 10014'",40.7323808291402,-74.0053009986877,Downtown,4.0,1278,$$$
pNYcGGAj4AYaExlmrEmfUw,Harry's,American,"'1 Hanover Sq, New York, NY 10004'",40.70451,-74.0098299,Downtown,4.0,692,$$$
r-izNItUH4ugnFodUOZX2A,International Wings Factory,American,"'1762 1st Ave, New York, NY 10128'",40.7801834538692,-73.9467542692273,Uptown,4.5,448,$$
